Code,Level,Type,Program Name,School,Degrees,Note
DSCI,Undergraduate,Major,Data Science,CAS,"B.A., B.S.",Active Fall 2020.
EALL,Graduate,Major,East Asian Languages and Literatures,CAS,"Ph.D., M.A.",
EARD,Graduate,Major,Earth Sciences,CAS,Ph.D.,Active Fall 2016.
EARM,Graduate,Major,Earth Sciences,CAS,M.S.,Active Fall 2016.
EC,Undergraduate,Major,Economics,CAS,"B.A., B.S.",
EC,Graduate,Major,Economics,CAS,M.S.,
ECON,Graduate,Major,Economics,CAS,Ph.D.,
EDF,Undergraduate,Major,Educational Foundations,ED,"B.A., B.S.",
EDLD,Graduate,Major,Educational Leadership,ED,"D.Ed., M.Ed.","Inactive Summer 2023. M.A. and M.S. inactive summer 2022, replaced with EPLD; M.Ed. And D.Ed. inactive summer 2023, replaced with EDLM and EDLO."
EDLI,Graduate,Major,Educational Leadership - License Only,ED,,Active Summer 2023. No UO credential; students pursuing licensure only.
EDLM,Graduate,Major,Educational Leadership,ED,M.Ed.,Active Summer 2023.
EDLO,Graduate,Major,Educational Leadership,ED,D.Ed.,Active Summer 2023. This program is online.
EDLS,Graduate,Major,Educational Leadership,ED,Ed.S.,Active Summer 2024.
ENG,Undergraduate,Major,English,CAS,B.A.,
ENG,Graduate,Major,English,CAS,"Ph.D., M.A.",
ENRL,Graduate,Major,Environmental and Natural Resources Law,LAW,LL.M.,Active Fall 2014.
ENV,Undergraduate,Major,Environmental Studies,CAS,"B.A., B.S.",
ENV,Graduate,Major,Environmental Studies,CAS,"M.A., M.S.",
ENVD,Undergraduate,Major,Environmental Design,DSGN,"B.A., B.S.",Active Fall 2023.
EPLD,Graduate,Major,Education Policy and Leadership,ED,"M.A., M.S.",Active Summer 2022.
ERTH,Undergraduate,Major,Earth Sciences,CAS,"B.A., B.S.",Active Fall 2016.
ESCI,Undergraduate,Major,Environmental Science,CAS,"B.A., B.S.",
ESSP,Graduate,Major,"Environmental Sciences, Studies, and Policy",CAS,Ph.D.,
ETHN,Undergraduate,Major,Ethnic Studies,CAS,"B.A., B.S.",
ETST,Graduate,Major,"Indigenous, Race and Ethnic Studies",CAS,"M.A., Ph.D.",Active Fall 2021. M.A. in passing.
EXPL,Undergraduate,Major,Exploring,,None,Not in the registrar's table
FHS,Undergraduate,Major,Family and Human Services,ED,"B.A., B.S.","B.Ed. inactive fall 2024, ends summer 2031."
FIN,Graduate,Major,Finance,BUS,"Ph.D., M.A., M.S.",Inactive Fall 2017.
FINA,Graduate,Major,Finance,BUS,M.A.,M.A. exclusive to students also in FIND.
FIND,Graduate,Major,Finance,BUS,Ph.D.,
FINS,Graduate,Major,Finance,BUS,M.S.,Active Summer 2017.
FLR,Undergraduate,Major,Folklore,CAS,B.A.,Inactive Fall 2018.
FLR,Graduate,Major,Folklore,CAS,"M.A., M.S.",Inactive Fall 2018.
FPC,Undergraduate,Major,Folklore and Public Culture,CAS,B.A.,
FPCG,Graduate,Major,Folklore and Public Culture,CAS,"M.A., M.S.",
FR,Undergraduate,Major,French,CAS,B.A.,Inactive Fall 2024. Replaced with FREN.
FR,Graduate,Major,French,CAS,M.A.,
FREN,Undergraduate,Major,French and Francophone Studies,CAS,B.A.,Active Fall 2024.
GB,Graduate,Major,General Business,BUS,M.B.A.,
GBE,Graduate,Major,General Business (Portland Program),BUS,M.B.A.,
GEOG,Undergraduate,Major,Geography,CAS,"B.A., B.S.",
GEOG,Graduate,Major,Geography,CAS,"Ph.D., M.A., M.S.",
GEOL,Undergraduate,Major,Geological Sciences,CAS,"B.A., B.S.",Inactive Fall 2016.
GEOL,Graduate,Major,Geological Sciences,CAS,"Ph.D., M.A., M.S.",Inactive Fall 2016.
GER,Undergraduate,Major,German,CAS,"B.A., B.S.",
GER,Graduate,Major,German,CAS,"Ph.D., M.A.",
GLBL,Undergraduate,Major,Global Studies,CAS,"B.A., B.S.",Active Fall 2020.
GLBM,Graduate,Major,Global Studies,CAS,M.A.,Active Fall 2020.
GS,Undergraduate,Major,General Science,CAS,"B.A., B.S.",Inactive Fall 2021. Replaced with MSCI.
GSS,Undergraduate,Major,General Social Science,CAS,"B.A., B.S.",
HIST,Undergraduate,Major,History,CAS,"B.A., B.S.",
HIST,Graduate,Major,History,CAS,"Ph.D., M.A.",
HP,Graduate,Major,Historic Preservation,DSGN,M.S.,
HPHY,Undergraduate,Major,Human Physiology,CAS,"B.A., B.S.",
HPHY,Graduate,Major,Human Physiology,CAS,"Ph.D., M.S.",
HUM,Undergraduate,Major,Humanities,CAS,B.A.,
IAIM,Graduate,Major,Interdisciplinary Studies: Applied Information Management,GRAD,M.S.,Inactive Winter 2020.
IARC,Undergraduate,Major,Interior Architecture,DSGN,B.I.Arch.,
IARC,Graduate,Major,Interior Architecture,DSGN,M.I.Arch.,
IARM,Graduate,Major,Interior Architecture,DSGN,M.S.,Active Fall 2022.
IIP,Graduate,Major,Interdisciplinary Studies: Individualized Program,GRAD,"M.A., M.S.",Inactive Fall 2021.
IMCO,Graduate,Major,Immersive Media Communication,SOJC,M.S.,Active Fall 2023. This program is online.
IMT,Graduate,Major,Intermedia Music Technology,SOMD,M.Mus.,
INTL,Undergraduate,Major,International Studies,CAS,"B.A., B.S.",Inactive Fall 2020.
INTL,Graduate,Major,International Studies,CAS,M.A.,Inactive Fall 2020.
ITAL,Undergraduate,Major,Italian,CAS,B.A.,Inactive Fall 2025. Replaced with ITST.
ITAL,Graduate,Major,Italian,CAS,M.A.,
ITDS,Graduate,Major,Interdisciplinary Studies,GRAD,"M.A., M.S.",Active Fall 2021.
